! Freq(MHz)     Int(K)
 99021.5609       0.00 
 99021.8049       0.00 
 99022.0489       0.00 
 99022.2929       0.00 
 99022.5369       0.00 
 99022.7809       0.00 
 99023.0249       0.00 
 99023.2689       0.00 
 99023.5129       0.00 
 99023.7569       0.00 
 99024.0009       0.00 
 99024.2449       0.00 
 99024.4889       0.00 
 99024.7329       0.00 
 99024.9769       0.00 
 99025.2209       0.00 
 99025.4649       0.00 
 99025.7089       0.00 
 99025.9529       0.00 
 99026.1969       0.00 
 99026.4409       0.00 
 99026.6849       0.00 
 99026.9289       0.00 
 99027.1729       0.00 
 99027.4169       0.00 
 99027.6609       0.00 
 99027.9049       0.00 
 99028.1489       0.00 
 99028.3929       0.00 
 99028.6369       0.00 
 99028.8809       0.00 
 99029.1249       0.00 
 99029.3689       0.00 
 99029.6129       0.00 
 99029.8569       0.00 
 99030.1009       0.00 
 99030.3449       0.00 
 99030.5889       0.00 
 99030.8329       0.00 
 99031.0769       0.00 
 99031.3209       0.00 
 99031.5649       0.00 
 99031.8089       0.00 
 99032.0529       0.00 
 99032.2969       0.00 
 99032.5409       0.00 
 99032.7849       0.00 
 99033.0289       0.00 
 99033.2729       0.00 
 99033.5169       0.00 
 99033.7609       0.00 
 99034.0049       0.00 
 99034.2489       0.00 
 99034.4929       0.00 
 99034.7369       0.00 
 99034.9809       0.00 
 99035.2249       0.00 
 99035.4689       0.00 
 99035.7129       0.00 
 99035.9569       0.00 
 99036.2009       0.00 
 99036.4449       0.00 
 99036.6889       0.00 
 99036.9329       0.00 
 99037.1769       0.00 
 99037.4209       0.00 
 99037.6649       0.00 
 99037.9089       0.00 
 99038.1529       0.00 
 99038.3969       0.00 
 99038.6409       0.00 
 99038.8849       0.00 
 99039.1289       0.00 
 99039.3729       0.00 
 99039.6169       0.00 
 99039.8609       0.00 
 99040.1049       0.00 
 99040.3489       0.00 
 99040.5929       0.00 
 99040.8369       0.00 
 99041.0809       0.00 
 99041.3249       0.00 
 99041.5689       0.00 
 99041.8129       0.00 
 99042.0569       0.00 
 99042.3009       0.00 
 99042.5449       0.00 
 99042.7889       0.00 
 99043.0329       0.00 
 99043.2769       0.00 
 99043.5209       0.00 
 99043.7649       0.00 
 99044.0089       0.00 
 99044.2529       0.00 
 99044.4969       0.00 
 99044.7409       0.00 
 99044.9849       0.00 
 99045.2289       0.00 
 99045.4729       0.00 
 99045.7169       0.00 
 99045.9609       0.00 
 99046.2049       0.00 
 99046.4489       0.00 
 99046.6929       0.00 
 99046.9369       0.00 
 99047.1809       0.00 
 99047.4249       0.00 
 99047.6689       0.00 
 99047.9129       0.00 
 99048.1569       0.00 
 99048.4009       0.00 
 99048.6449       0.00 
 99048.8889       0.00 
 99049.1329       0.00 
 99049.3769       0.00 
 99049.6209       0.00 
 99049.8649       0.00 
 99050.1089       0.00 
 99050.3529       0.00 
 99050.5969       0.00 
 99050.8409       0.00 
 99051.0849       0.00 
 99051.3289       0.00 
 99051.5729       0.00 
 99051.8169       0.00 
 99052.0609       0.00 
 99052.3049       0.00 
 99052.5489       0.00 
 99052.7929       0.00 
 99053.0369       0.00 
 99053.2809       0.00 
 99053.5249       0.00 
 99053.7689       0.00 
 99054.0129       0.00 
 99054.2569       0.00 
 99054.5009       0.00 
 99054.7449       0.00 
 99054.9889       0.00 
 99055.2329       0.00 
 99055.4769       0.00 
 99055.7209       0.00 
 99055.9649       0.00 
 99056.2089       0.00 
 99056.4529       0.00 
 99056.6969       0.00 
 99056.9409       0.00 
 99057.1849       0.00 
 99057.4289       0.00 
 99057.6729       0.00 
 99057.9169       0.00 
 99058.1609       0.00 
 99058.4049       0.00 
 99058.6489       0.00 
 99058.8929       0.00 
 99059.1369       0.00 
 99059.3809       0.00 
 99059.6249       0.00 
 99059.8689       0.00 
 99060.1129       0.00 
 99060.3569       0.00 
 99060.6009       0.00 
 99060.8449       0.00 
 99061.0889       0.00 
 99061.3329       0.00 
 99061.5769       0.00 
 99061.8209       0.00 
 99062.0649       0.00 
 99062.3089       0.00 
 99062.5529       0.00 
 99062.7969       0.00 
 99063.0409       0.00 
 99063.2849       0.00 
 99063.5289       0.00 
 99063.7729       0.00 
 99064.0169       0.00 
 99064.2609       0.00 
 99064.5049       0.00 
 99064.7489       0.00 
 99064.9929       0.00 
 99065.2369       0.00 
 99065.4809       0.00 
 99065.7249       0.00 
 99065.9689       0.00 
 99066.2129       0.00 
 99066.4569       0.00 
 99066.7009       0.00 
 99066.9449       0.00 
 99067.1889       0.00 
 99067.4329       0.00 
 99067.6769       0.00 
 99067.9209       0.00 
 99068.1649       0.00 
 99068.4089       0.00 
 99068.6529       0.00 
 99068.8969       0.00 
 99069.1409       0.00 
 99069.3849       0.00 
 99069.6289       0.00 
 99069.8729       0.00 
 99070.1169       0.00 
 99070.3609       0.00 
