! Freq(MHz)     Int(K)
 97306.5021       0.00 
 97306.7461       0.00 
 97306.9901       0.00 
 97307.2341       0.00 
 97307.4781       0.00 
 97307.7221       0.00 
 97307.9661       0.00 
 97308.2101       0.00 
 97308.4541       0.00 
 97308.6981       0.00 
 97308.9421       0.00 
 97309.1861       0.00 
 97309.4301       0.00 
 97309.6741       0.00 
 97309.9181       0.00 
 97310.1621       0.00 
 97310.4061       0.00 
 97310.6501       0.00 
 97310.8941       0.00 
 97311.1381       0.00 
 97311.3821       0.00 
 97311.6261       0.00 
 97311.8701       0.00 
 97312.1141       0.00 
 97312.3581       0.00 
 97312.6021       0.00 
 97312.8461       0.00 
 97313.0901       0.00 
 97313.3341       0.00 
 97313.5781       0.00 
 97313.8221       0.00 
 97314.0661       0.00 
 97314.3101       0.00 
 97314.5541       0.00 
 97314.7981       0.00 
 97315.0421       0.00 
 97315.2861       0.00 
 97315.5301       0.00 
 97315.7741       0.00 
 97316.0181       0.00 
 97316.2621       0.00 
 97316.5061       0.01 
 97316.7501       0.02 
 97316.9941       0.04 
 97317.2381       0.06 
 97317.4821       0.11 
 97317.7261       0.16 
 97317.9701       0.19 
 97318.2141       0.20 
 97318.4581       0.19 
 97318.7021       0.16 
 97318.9461       0.12 
 97319.1901       0.07 
 97319.4341       0.04 
 97319.6781       0.02 
 97319.9221       0.01 
 97320.1661       0.00 
 97320.4101       0.00 
 97320.6541       0.00 
 97320.8981       0.00 
 97321.1421       0.00 
 97321.3861       0.00 
 97321.6301       0.00 
 97321.8741       0.00 
 97322.1181       0.00 
 97322.3621       0.00 
 97322.6061       0.00 
 97322.8501       0.00 
 97323.0941       0.00 
 97323.3381       0.00 
 97323.5821       0.00 
 97323.8261       0.00 
 97324.0701       0.00 
 97324.3141       0.00 
 97324.5581       0.00 
 97324.8021       0.00 
 97325.0461       0.00 
 97325.2901       0.00 
 97325.5341       0.00 
 97325.7781       0.00 
 97326.0221       0.00 
 97326.2661       0.00 
 97326.5101       0.00 
 97326.7541       0.00 
 97326.9981       0.00 
 97327.2421       0.00 
 97327.4861       0.00 
 97327.7301       0.00 
 97327.9741       0.00 
 97328.2181       0.00 
 97328.4621       0.00 
 97328.7061       0.00 
 97328.9501       0.00 
 97329.1941       0.00 
 97329.4381       0.00 
 97329.6821       0.00 
 97329.9261       0.00 
 97330.1701       0.00 
 97330.4141       0.00 
 97330.6581       0.00 
 97330.9021       0.00 
 97331.1461       0.00 
 97331.3901       0.00 
 97331.6341       0.00 
 97331.8781       0.00 
 97332.1221       0.00 
 97332.3661       0.00 
 97332.6101       0.00 
 97332.8541       0.00 
 97333.0981       0.00 
 97333.3421       0.00 
 97333.5861       0.00 
 97333.8301       0.00 
 97334.0741       0.00 
 97334.3181       0.00 
 97334.5621       0.00 
 97334.8061       0.00 
 97335.0501       0.00 
 97335.2941       0.00 
 97335.5381       0.00 
 97335.7821       0.00 
 97336.0261       0.00 
 97336.2701       0.00 
 97336.5141       0.00 
 97336.7581       0.00 
